"Date (UTC)","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2011-12-31T23:00:00.000Z,0,0,0,0
2012-01-01T00:00:00.000Z,0,0,0,0
2012-01-01T01:00:00.000Z,0,0,0,0
2012-01-01T02:00:00.000Z,0,0,0,0
2012-01-01T03:00:00.000Z,0,0,0,0
2012-01-01T04:00:00.000Z,0,0,0,0
2012-01-01T05:00:00.000Z,0,0,0,0
2012-01-01T06:00:00.000Z,0,0,0,0
2012-01-01T07:00:00.000Z,0.018,0.009,0.019,0.012
2012-01-01T08:00:00.000Z,0.049,0.057,0.204,0.079
2012-01-01T09:00:00.000Z,0.092,0.155,0.381,0.174
2012-01-01T10:00:00.000Z,0.128,0.252,0.47,0.222
2012-01-01T11:00:00.000Z,0.133,0.346,0.518,0.245
2012-01-01T12:00:00.000Z,0.103,0.354,0.527,0.264
2012-01-01T13:00:00.000Z,0.066,0.301,0.363,0.225
2012-01-01T14:00:00.000Z,0.026,0.123,0.127,0.11
2012-01-01T15:00:00.000Z,0.002,0.017,0.006,0.016
2012-01-01T16:00:00.000Z,0,0,0,0
2012-01-01T17:00:00.000Z,0,0,0,0
2012-01-01T18:00:00.000Z,0,0,0,0
2012-01-01T19:00:00.000Z,0,0,0,0
2012-01-01T20:00:00.000Z,0,0,0,0
2012-01-01T21:00:00.000Z,0,0,0,0
2012-01-01T22:00:00.000Z,0,0,0,0
2012-01-01T23:00:00.000Z,0,0,0,0
2012-01-02T00:00:00.000Z,0,0,0,0
2012-01-02T01:00:00.000Z,0,0,0,0
2012-01-02T02:00:00.000Z,0,0,0,0
2012-01-02T03:00:00.000Z,0,0,0,0
2012-01-02T04:00:00.000Z,0,0,0,0
2012-01-02T05:00:00.000Z,0,0,0,0
2012-01-02T06:00:00.000Z,0,0,0,0
2012-01-02T07:00:00.000Z,0.011,0.004,0.056,0.005
2012-01-02T08:00:00.000Z,0.038,0.069,0.274,0.071
2012-01-02T09:00:00.000Z,0.08,0.168,0.478,0.147
2012-01-02T10:00:00.000Z,0.113,0.258,0.646,0.163
2012-01-02T11:00:00.000Z,0.106,0.312,0.657,0.207
2012-01-02T12:00:00.000Z,0.091,0.311,0.631,0.183
2012-01-02T13:00:00.000Z,0.053,0.202,0.425,0.107
2012-01-02T14:00:00.000Z,0.02,0.08,0.128,0.061
2012-01-02T15:00:00.000Z,0.001,0.013,0.003,0.009
2012-01-02T16:00:00.000Z,0,0,0,0
2012-01-02T17:00:00.000Z,0,0,0,0
2012-01-02T18:00:00.000Z,0,0,0,0
2012-01-02T19:00:00.000Z,0,0,0,0
2012-01-02T20:00:00.000Z,0,0,0,0
2012-01-02T21:00:00.000Z,0,0,0,0
2012-01-02T22:00:00.000Z,0,0,0,0
2012-01-02T23:00:00.000Z,0,0,0,0
2012-01-03T00:00:00.000Z,0,0,0,0
2012-01-03T01:00:00.000Z,0,0,0,0
2012-01-03T02:00:00.000Z,0,0,0,0
2012-01-03T03:00:00.000Z,0,0,0,0
2012-01-03T04:00:00.000Z,0,0,0,0
2012-01-03T05:00:00.000Z,0,0,0,0
2012-01-03T06:00:00.000Z,0,0,0,0
2012-01-03T07:00:00.000Z,0.034,0.038,0.13,0.032
2012-01-03T08:00:00.000Z,0.215,0.417,0.943,0.304
2012-01-03T09:00:00.000Z,0.602,0.863,1.828,0.754
2012-01-03T10:00:00.000Z,0.767,1.068,2.307,1.041
2012-01-03T11:00:00.000Z,0.667,0.885,2.345,1.039
2012-01-03T12:00:00.000Z,0.352,0.691,1.978,0.722
2012-01-03T13:00:00.000Z,0.169,0.42,1.352,0.382
2012-01-03T14:00:00.000Z,0.048,0.118,0.489,0.135
2012-01-03T15:00:00.000Z,0.003,0.012,0.019,0.026
2012-01-03T16:00:00.000Z,0,0,0,0
2012-01-03T17:00:00.000Z,0,0,0,0
2012-01-03T18:00:00.000Z,0,0,0,0
2012-01-03T19:00:00.000Z,0,0,0,0
2012-01-03T20:00:00.000Z,0,0,0,0
2012-01-03T21:00:00.000Z,0,0,0,0
2012-01-03T22:00:00.000Z,0,0,0,0
2012-01-03T23:00:00.000Z,0,0,0,0
2012-01-04T00:00:00.000Z,0,0,0,0
2012-01-04T01:00:00.000Z,0,0,0,0
2012-01-04T02:00:00.000Z,0,0,0,0
2012-01-04T03:00:00.000Z,0,0,0,0
2012-01-04T04:00:00.000Z,0,0,0,0
2012-01-04T05:00:00.000Z,0,0,0,0
2012-01-04T06:00:00.000Z,0,0,0,0
2012-01-04T07:00:00.000Z,0.03,0.009,0.009,0.006
2012-01-04T08:00:00.000Z,0.13,0.156,0.201,0.078
2012-01-04T09:00:00.000Z,0.312,0.57,0.704,0.297
2012-01-04T10:00:00.000Z,0.441,0.832,1.188,0.505
2012-01-04T11:00:00.000Z,0.372,0.94,1.261,0.54
2012-01-04T12:00:00.000Z,0.317,0.662,1.151,0.371
2012-01-04T13:00:00.000Z,0.212,0.55,0.756,0.33
2012-01-04T14:00:00.000Z,0.086,0.229,0.261,0.202
2012-01-04T15:00:00.000Z,0.004,0.018,0.011,0.03
2012-01-04T16:00:00.000Z,0,0,0,0
2012-01-04T17:00:00.000Z,0,0,0,0
2012-01-04T18:00:00.000Z,0,0,0,0
2012-01-04T19:00:00.000Z,0,0,0,0
2012-01-04T20:00:00.000Z,0,0,0,0
2012-01-04T21:00:00.000Z,0,0,0,0
2012-01-04T22:00:00.000Z,0,0,0,0
2012-01-04T23:00:00.000Z,0,0,0,0
2012-01-05T00:00:00.000Z,0,0,0,0
2012-01-05T01:00:00.000Z,0,0,0,0
2012-01-05T02:00:00.000Z,0,0,0,0
2012-01-05T03:00:00.000Z,0,0,0,0
2012-01-05T04:00:00.000Z,0,0,0,0
2012-01-05T05:00:00.000Z,0,0,0,0
2012-01-05T06:00:00.000Z,0,0,0,0
2012-01-05T07:00:00.000Z,0.013,0.001,0.011,0
2012-01-05T08:00:00.000Z,0.054,0.037,0.098,0.022
2012-01-05T09:00:00.000Z,0.109,0.111,0.224,0.071
2012-01-05T10:00:00.000Z,0.166,0.217,0.354,0.109
2012-01-05T11:00:00.000Z,0.187,0.322,0.397,0.149
2012-01-05T12:00:00.000Z,0.175,0.281,0.422,0.14
2012-01-05T13:00:00.000Z,0.122,0.234,0.294,0.09
2012-01-05T14:00:00.000Z,0.05,0.115,0.094,0.035
2012-01-05T15:00:00.000Z,0.004,0.019,0.004,0.012
2012-01-05T16:00:00.000Z,0,0,0,0
2012-01-05T17:00:00.000Z,0,0,0,0
2012-01-05T18:00:00.000Z,0,0,0,0
2012-01-05T19:00:00.000Z,0,0,0,0
2012-01-05T20:00:00.000Z,0,0,0,0
2012-01-05T21:00:00.000Z,0,0,0,0
2012-01-05T22:00:00.000Z,0,0,0,0
2012-01-05T23:00:00.000Z,0,0,0,0
2012-01-06T00:00:00.000Z,0,0,0,0
2012-01-06T01:00:00.000Z,0,0,0,0
2012-01-06T02:00:00.000Z,0,0,0,0
2012-01-06T03:00:00.000Z,0,0,0,0
2012-01-06T04:00:00.000Z,0,0,0,0
2012-01-06T05:00:00.000Z,0,0,0,0
2012-01-06T06:00:00.000Z,0,0,0,0
2012-01-06T07:00:00.000Z,0.024,0.007,0.013,0.008
2012-01-06T08:00:00.000Z,0.122,0.113,0.262,0.039
2012-01-06T09:00:00.000Z,0.327,0.297,0.746,0.095
2012-01-06T10:00:00.000Z,0.462,0.45,1.143,0.165
2012-01-06T11:00:00.000Z,0.435,0.55,1.455,0.237
2012-01-06T12:00:00.000Z,0.369,0.524,1.481,0.224
2012-01-06T13:00:00.000Z,0.237,0.416,1.102,0.162
2012-01-06T14:00:00.000Z,0.1,0.208,0.41,0.08
2012-01-06T15:00:00.000Z,0.006,0.022,0.016,0.017
2012-01-06T16:00:00.000Z,0,0,0,0
2012-01-06T17:00:00.000Z,0,0,0,0
2012-01-06T18:00:00.000Z,0,0,0,0
