"Date (UTC)","Solar 50Hertz","Solar Amprion","Solar Tennet","Solar Transnet BW"
2017-12-31T23:00:00.000Z,0,0,0,0
2018-01-01T00:00:00.000Z,0,0,0,0
2018-01-01T01:00:00.000Z,0,0,0,0
2018-01-01T02:00:00.000Z,0,0,0,0
2018-01-01T03:00:00.000Z,0,0,0,0
2018-01-01T04:00:00.000Z,0,0,0,0
2018-01-01T05:00:00.000Z,0,0,0,0
2018-01-01T06:00:00.000Z,0,0,0,0
2018-01-01T07:00:00.000Z,0.086,0.016,0.029,0.042
2018-01-01T08:00:00.000Z,0.577,0.297,0.402,0.289
2018-01-01T09:00:00.000Z,1.286,0.876,1.194,0.68
2018-01-01T10:00:00.000Z,1.755,1.44,1.73,1.076
2018-01-01T11:00:00.000Z,1.794,1.479,1.857,1.28
2018-01-01T12:00:00.000Z,1.373,1.18,1.893,1.24
2018-01-01T13:00:00.000Z,0.814,0.796,1.408,1.011
2018-01-01T14:00:00.000Z,0.225,0.293,0.624,0.406
2018-01-01T15:00:00.000Z,0.001,0.01,0.018,0.012
2018-01-01T16:00:00.000Z,0,0,0,0
2018-01-01T17:00:00.000Z,0,0,0,0
2018-01-01T18:00:00.000Z,0,0,0,0
2018-01-01T19:00:00.000Z,0,0,0,0
2018-01-01T20:00:00.000Z,0,0,0,0
2018-01-01T21:00:00.000Z,0,0,0,0
2018-01-01T22:00:00.000Z,0,0,0,0
2018-01-01T23:00:00.000Z,0,0,0,0
2018-01-02T00:00:00.000Z,0,0,0,0
2018-01-02T01:00:00.000Z,0,0,0,0
2018-01-02T02:00:00.000Z,0,0,0,0
2018-01-02T03:00:00.000Z,0,0,0,0
2018-01-02T04:00:00.000Z,0,0,0,0
2018-01-02T05:00:00.000Z,0,0,0,0
2018-01-02T06:00:00.000Z,0,0,0,0
2018-01-02T07:00:00.000Z,0.018,0.009,0.035,0.019
2018-01-02T08:00:00.000Z,0.151,0.198,0.41,0.147
2018-01-02T09:00:00.000Z,0.371,0.507,0.944,0.381
2018-01-02T10:00:00.000Z,0.595,0.798,1.153,0.612
2018-01-02T11:00:00.000Z,0.661,0.836,1.137,0.799
2018-01-02T12:00:00.000Z,0.581,0.795,1.057,0.813
2018-01-02T13:00:00.000Z,0.374,0.558,0.83,0.63
2018-01-02T14:00:00.000Z,0.107,0.221,0.29,0.25
2018-01-02T15:00:00.000Z,0.001,0.013,0.005,0.022
2018-01-02T16:00:00.000Z,0,0,0,0
2018-01-02T17:00:00.000Z,0,0,0,0
2018-01-02T18:00:00.000Z,0,0,0,0
2018-01-02T19:00:00.000Z,0,0,0,0
2018-01-02T20:00:00.000Z,0,0,0,0
2018-01-02T21:00:00.000Z,0,0,0,0
2018-01-02T22:00:00.000Z,0,0,0,0
2018-01-02T23:00:00.000Z,0,0,0,0
2018-01-03T00:00:00.000Z,0,0,0,0
2018-01-03T01:00:00.000Z,0,0,0,0
2018-01-03T02:00:00.000Z,0,0,0,0
2018-01-03T03:00:00.000Z,0,0,0,0
2018-01-03T04:00:00.000Z,0,0,0,0
2018-01-03T05:00:00.000Z,0,0,0,0
2018-01-03T06:00:00.000Z,0,0,0,0
2018-01-03T07:00:00.000Z,0.019,0.014,0.015,0.009
2018-01-03T08:00:00.000Z,0.116,0.19,0.323,0.086
2018-01-03T09:00:00.000Z,0.299,0.381,0.597,0.167
2018-01-03T10:00:00.000Z,0.734,0.551,0.812,0.247
2018-01-03T11:00:00.000Z,1.116,0.614,0.831,0.367
2018-01-03T12:00:00.000Z,0.913,0.552,0.795,0.461
2018-01-03T13:00:00.000Z,0.523,0.463,0.56,0.426
2018-01-03T14:00:00.000Z,0.125,0.244,0.241,0.257
2018-01-03T15:00:00.000Z,0.001,0.024,0.01,0.02
2018-01-03T16:00:00.000Z,0,0,0,0
2018-01-03T17:00:00.000Z,0,0,0,0
2018-01-03T18:00:00.000Z,0,0,0,0
2018-01-03T19:00:00.000Z,0,0,0,0
2018-01-03T20:00:00.000Z,0,0,0,0
2018-01-03T21:00:00.000Z,0,0,0,0
2018-01-03T22:00:00.000Z,0,0,0,0
2018-01-03T23:00:00.000Z,0,0,0,0
2018-01-04T00:00:00.000Z,0,0,0,0
2018-01-04T01:00:00.000Z,0,0,0,0
2018-01-04T02:00:00.000Z,0,0,0,0
2018-01-04T03:00:00.000Z,0,0,0,0
2018-01-04T04:00:00.000Z,0,0,0,0
2018-01-04T05:00:00.000Z,0,0,0,0
2018-01-04T06:00:00.000Z,0,0,0,0
2018-01-04T07:00:00.000Z,0.014,0.003,0.03,0.005
2018-01-04T08:00:00.000Z,0.2,0.073,0.293,0.048
2018-01-04T09:00:00.000Z,0.524,0.206,0.666,0.114
2018-01-04T10:00:00.000Z,0.715,0.326,0.858,0.147
2018-01-04T11:00:00.000Z,0.712,0.403,0.769,0.182
2018-01-04T12:00:00.000Z,0.495,0.377,0.564,0.174
2018-01-04T13:00:00.000Z,0.306,0.232,0.371,0.119
2018-01-04T14:00:00.000Z,0.1,0.073,0.119,0.041
2018-01-04T15:00:00.000Z,0.001,0.004,0.001,0.001
2018-01-04T16:00:00.000Z,0,0,0,0
2018-01-04T17:00:00.000Z,0,0,0,0
2018-01-04T18:00:00.000Z,0,0,0,0
2018-01-04T19:00:00.000Z,0,0,0,0
2018-01-04T20:00:00.000Z,0,0,0,0
2018-01-04T21:00:00.000Z,0,0,0,0
2018-01-04T22:00:00.000Z,0,0,0,0
2018-01-04T23:00:00.000Z,0,0,0,0
2018-01-05T00:00:00.000Z,0,0,0,0
2018-01-05T01:00:00.000Z,0,0,0,0
2018-01-05T02:00:00.000Z,0,0,0,0
2018-01-05T03:00:00.000Z,0,0,0,0
2018-01-05T04:00:00.000Z,0,0,0,0
2018-01-05T05:00:00.000Z,0,0,0,0
2018-01-05T06:00:00.000Z,0,0,0,0
2018-01-05T07:00:00.000Z,0.025,0.054,0.159,0.016
2018-01-05T08:00:00.000Z,0.292,0.399,0.733,0.137
2018-01-05T09:00:00.000Z,0.759,0.85,1.52,0.424
2018-01-05T10:00:00.000Z,1.046,1.021,1.694,0.634
2018-01-05T11:00:00.000Z,0.908,0.79,1.477,0.589
2018-01-05T12:00:00.000Z,0.674,0.671,1.05,0.291
2018-01-05T13:00:00.000Z,0.352,0.386,0.662,0.151
2018-01-05T14:00:00.000Z,0.104,0.197,0.207,0.077
2018-01-05T15:00:00.000Z,0.001,0.021,0.004,0.007
2018-01-05T16:00:00.000Z,0,0,0,0
2018-01-05T17:00:00.000Z,0,0,0,0
2018-01-05T18:00:00.000Z,0,0,0,0
2018-01-05T19:00:00.000Z,0,0,0,0
2018-01-05T20:00:00.000Z,0,0,0,0
2018-01-05T21:00:00.000Z,0,0,0,0
2018-01-05T22:00:00.000Z,0,0,0,0
2018-01-05T23:00:00.000Z,0,0,0,0
2018-01-06T00:00:00.000Z,0,0,0,0
2018-01-06T01:00:00.000Z,0,0,0,0
2018-01-06T02:00:00.000Z,0,0,0,0
2018-01-06T03:00:00.000Z,0,0,0,0
2018-01-06T04:00:00.000Z,0,0,0,0
2018-01-06T05:00:00.000Z,0,0,0,0
2018-01-06T06:00:00.000Z,0,0,0,0
2018-01-06T07:00:00.000Z,0.054,0.04,0.136,0.023
2018-01-06T08:00:00.000Z,0.55,0.402,0.973,0.165
2018-01-06T09:00:00.000Z,1.094,0.969,2.009,0.453
2018-01-06T10:00:00.000Z,1.522,1.284,2.589,0.713
2018-01-06T11:00:00.000Z,1.446,1.246,2.596,0.928
2018-01-06T12:00:00.000Z,1.019,1.057,2.232,0.886
2018-01-06T13:00:00.000Z,0.53,0.724,1.564,0.575
2018-01-06T14:00:00.000Z,0.118,0.318,0.632,0.225
2018-01-06T15:00:00.000Z,0.001,0.03,0.024,0.03
2018-01-06T16:00:00.000Z,0,0,0,0
2018-01-06T17:00:00.000Z,0,0,0,0
2018-01-06T18:00:00.000Z,0,0,0,0
2018-01-06T19:00:00.000Z,0,0,0,0
2018-01-06T20:00:00.000Z,0,0,0,0
2018-01-06T21:00:00.000Z,0,0,0,0
2018-01-06T22:00:00.000Z,0,0,0,0
2018-01-06T23:00:00.000Z,0,0,0,0
2018-01-07T00:00:00.000Z,0,0,0,0
2018-01-07T01:00:00.000Z,0,0,0,0
2018-01-07T02:00:00.000Z,0,0,0,0
2018-01-07T03:00:00.000Z,0,0,0,0
2018-01-07T04:00:00.000Z,0,0,0,0
2018-01-07T05:00:00.000Z,0,0,0,0
2018-01-07T06:00:00.000Z,0,0,0,0
2018-01-07T07:00:00.000Z,0.026,0.007,0.036,0.031
2018-01-07T08:00:00.000Z,0.201,0.143,0.358,0.161
2018-01-07T09:00:00.000Z,0.453,0.489,0.923,0.334
2018-01-07T10:00:00.000Z,0.696,0.779,1.36,0.448
2018-01-07T11:00:00.000Z,0.787,0.941,1.563,0.479
2018-01-07T12:00:00.000Z,0.721,0.934,1.423,0.35
2018-01-07T13:00:00.000Z,0.507,0.723,0.986,0.194
2018-01-07T14:00:00.000Z,0.159,0.31,0.384,0.055
2018-01-07T15:00:00.000Z,0.002,0.021,0.013,0.006
2018-01-07T16:00:00.000Z,0,0,0,0
2018-01-07T17:00:00.000Z,0,0,0,0
2018-01-07T18:00:00.000Z,0,0,0,0
2018-01-07T19:00:00.000Z,0,0,0,0
2018-01-07T20:00:00.000Z,0,0,0,0
2018-01-07T21:00:00.000Z,0,0,0,0
2018-01-07T22:00:00.000Z,0,0,0,0
2018-01-07T23:00:00.000Z,0,0,0,0
2018-01-08T00:00:00.000Z,0,0,0,0
2018-01-08T01:00:00.000Z,0,0,0,0
2018-01-08T02:00:00.000Z,0,0,0,0
2018-01-08T03:00:00.000Z,0,0,0,0
2018-01-08T04:00:00.000Z,0,0,0,0
2018-01-08T05:00:00.000Z,0,0,0,0
2018-01-08T06:00:00.000Z,0,0,0,0
2018-01-08T07:00:00.000Z,0.071,0.005,0.027,0.026
2018-01-08T08:00:00.000Z,0.616,0.187,0.467,0.145
2018-01-08T09:00:00.000Z,1.422,0.684,1.283,0.335
2018-01-08T10:00:00.000Z,1.981,1.16,2.112,0.498
2018-01-08T11:00:00.000Z,2.122,1.395,2.644,0.555
2018-01-08T12:00:00.000Z,1.864,1.32,2.609,0.538
2018-01-08T13:00:00.000Z,1.224,0.941,1.895,0.418
2018-01-08T14:00:00.000Z,0.363,0.401,0.725,0.234
2018-01-08T15:00:00.000Z,0.004,0.039,0.031,0.035
2018-01-08T16:00:00.000Z,0,0,0,0
2018-01-08T17:00:00.000Z,0,0,0,0
2018-01-08T18:00:00.000Z,0,0,0,0
2018-01-08T19:00:00.000Z,0,0,0,0
2018-01-08T20:00:00.000Z,0,0,0,0
2018-01-08T21:00:00.000Z,0,0,0,0
2018-01-08T22:00:00.000Z,0,0,0,0
2018-01-08T23:00:00.000Z,0,0,0,0
2018-01-09T00:00:00.000Z,0,0,0,0
2018-01-09T01:00:00.000Z,0,0,0,0
2018-01-09T02:00:00.000Z,0,0,0,0
2018-01-09T03:00:00.000Z,0,0,0,0
2018-01-09T04:00:00.000Z,0,0,0,0
2018-01-09T05:00:00.000Z,0,0,0,0
2018-01-09T06:00:00.000Z,0,0,0,0
2018-01-09T07:00:00.000Z,0.044,0.038,0.087,0.04
2018-01-09T08:00:00.000Z,0.405,0.312,0.787,0.244
2018-01-09T09:00:00.000Z,0.943,0.756,1.543,0.626
2018-01-09T10:00:00.000Z,1.404,1.399,1.864,0.921
2018-01-09T11:00:00.000Z,1.484,1.706,1.949,1.183
2018-01-09T12:00:00.000Z,1.318,1.574,2.057,1.097
2018-01-09T13:00:00.000Z,0.766,1.025,1.533,0.725
2018-01-09T14:00:00.000Z,0.201,0.454,0.584,0.274
2018-01-09T15:00:00.000Z,0.004,0.05,0.037,0.021
2018-01-09T16:00:00.000Z,0,0,0,0
2018-01-09T17:00:00.000Z,0,0,0,0
2018-01-09T18:00:00.000Z,0,0,0,0
2018-01-09T19:00:00.000Z,0,0,0,0
2018-01-09T20:00:00.000Z,0,0,0,0
2018-01-09T21:00:00.000Z,0,0,0,0
2018-01-09T22:00:00.000Z,0,0,0,0
2018-01-09T23:00:00.000Z,0,0,0,0
2018-01-10T00:00:00.000Z,0,0,0,0
2018-01-10T01:00:00.000Z,0,0,0,0
2018-01-10T02:00:00.000Z,0,0,0,0
2018-01-10T03:00:00.000Z,0,0,0,0
2018-01-10T04:00:00.000Z,0,0,0,0
2018-01-10T05:00:00.000Z,0,0,0,0
2018-01-10T06:00:00.000Z,0,0,0,0
2018-01-10T07:00:00.000Z,0.05,0.067,0.087,0.052
2018-01-10T08:00:00.000Z,0.474,0.471,0.727,0.333
2018-01-10T09:00:00.000Z,1.198,1.135,1.803,0.8
2018-01-10T10:00:00.000Z,1.696,1.731,2.807,1.157
2018-01-10T11:00:00.000Z,1.976,2.003,3.244,1.378
2018-01-10T12:00:00.000Z,1.745,1.773,2.935,1.217
2018-01-10T13:00:00.000Z,1.065,1.092,1.983,0.824
2018-01-10T14:00:00.000Z,0.34,0.414,0.779,0.365
2018-01-10T15:00:00.000Z,0.011,0.036,0.045,0.018
2018-01-10T16:00:00.000Z,0,0,0,0
2018-01-10T17:00:00.000Z,0,0,0,0
2018-01-10T18:00:00.000Z,0,0,0,0
2018-01-10T19:00:00.000Z,0,0,0,0
2018-01-10T20:00:00.000Z,0,0,0,0
2018-01-10T21:00:00.000Z,0,0,0,0
2018-01-10T22:00:00.000Z,0,0,0,0
2018-01-10T23:00:00.000Z,0,0,0,0
2018-01-11T00:00:00.000Z,0,0,0,0
2018-01-11T01:00:00.000Z,0,0,0,0
2018-01-11T02:00:00.000Z,0,0,0,0
2018-01-11T03:00:00.000Z,0,0,0,0
2018-01-11T04:00:00.000Z,0,0,0,0
2018-01-11T05:00:00.000Z,0,0,0,0
2018-01-11T06:00:00.000Z,0,0,0,0
2018-01-11T07:00:00.000Z,0.036,0.025,0.035,0.021
2018-01-11T08:00:00.000Z,0.344,0.268,0.389,0.199
2018-01-11T09:00:00.000Z,0.75,0.694,0.904,0.558
2018-01-11T10:00:00.000Z,1.077,1.041,1.279,0.801
2018-01-11T11:00:00.000Z,1.178,1.255,1.348,1.037
2018-01-11T12:00:00.000Z,0.861,1.121,1.125,0.89
2018-01-11T13:00:00.000Z,0.47,0.744,0.779,0.594
2018-01-11T14:00:00.000Z,0.133,0.329,0.322,0.313
2018-01-11T15:00:00.000Z,0.004,0.04,0.018,0.038
2018-01-11T16:00:00.000Z,0,0,0,0
2018-01-11T17:00:00.000Z,0,0,0,0
2018-01-11T18:00:00.000Z,0,0,0,0
2018-01-11T19:00:00.000Z,0,0,0,0
2018-01-11T20:00:00.000Z,0,0,0,0
2018-01-11T21:00:00.000Z,0,0,0,0
